FastEstimator-Start: step: 1; num_device: 1; logging_interval: 100;
FastEstimator-Train: step: 1; total_loss: 1.8816993;
FastEstimator-Train: step: 100; total_loss: 1.6540418; steps/sec: 4.02;
FastEstimator-Train: step: 200; total_loss: 1.4614055; steps/sec: 3.96;
FastEstimator-Train: step: 300; total_loss: 1.4504144; steps/sec: 3.97;
FastEstimator-Train: step: 400; total_loss: 1.2383122; steps/sec: 3.97;
FastEstimator-Train: step: 500; total_loss: 1.217384; steps/sec: 3.97;
FastEstimator-Train: step: 600; total_loss: 1.1546487; steps/sec: 3.97;
FastEstimator-Train: step: 700; total_loss: 1.114899; steps/sec: 3.95;
FastEstimator-Train: step: 800; total_loss: 0.9869684; steps/sec: 3.98;
FastEstimator-Train: step: 900; total_loss: 1.1068121; steps/sec: 3.98;
FastEstimator-Train: step: 1000; total_loss: 0.9994805; steps/sec: 3.97;
FastEstimator-Train: step: 1100; total_loss: 1.0447322; steps/sec: 3.99;
FastEstimator-Train: step: 1200; total_loss: 1.0330424; steps/sec: 3.96;
FastEstimator-Train: step: 1300; total_loss: 0.9777906; steps/sec: 3.97;
FastEstimator-Train: step: 1400; total_loss: 1.0642405; steps/sec: 3.97;
FastEstimator-Train: step: 1500; total_loss: 0.9034026; steps/sec: 3.97;
FastEstimator-Train: step: 1500; epoch: 1; epoch_time: 396.51 sec;
FastEstimator-Eval: step: 1500; epoch: 1; total_loss: 0.9210387; mAP: 0.023951693026717014; AP50: 0.050460520196462105; AP75: 0.019904617954720726;
FastEstimator-Train: step: 1600; total_loss: 0.93628097; steps/sec: 3.86;
FastEstimator-Train: step: 1700; total_loss: 0.8534999; steps/sec: 3.97;
FastEstimator-Train: step: 1800; total_loss: 0.92354465; steps/sec: 3.96;
FastEstimator-Train: step: 1900; total_loss: 0.92650926; steps/sec: 3.98;
FastEstimator-Train: step: 2000; total_loss: 0.81958395; steps/sec: 3.97;
FastEstimator-Train: step: 2100; total_loss: 0.8450573; steps/sec: 3.98;
FastEstimator-Train: step: 2200; total_loss: 0.8719604; steps/sec: 3.97;
FastEstimator-Train: step: 2300; total_loss: 0.8408439; steps/sec: 3.97;
FastEstimator-Train: step: 2400; total_loss: 0.8576116; steps/sec: 3.96;
FastEstimator-Train: step: 2500; total_loss: 0.78616166; steps/sec: 3.97;
FastEstimator-Train: step: 2600; total_loss: 0.7164738; steps/sec: 3.96;
FastEstimator-Train: step: 2700; total_loss: 0.80504656; steps/sec: 3.97;
FastEstimator-Train: step: 2800; total_loss: 0.9180566; steps/sec: 3.95;
FastEstimator-Train: step: 2900; total_loss: 0.7884393; steps/sec: 3.96;
FastEstimator-Train: step: 3000; total_loss: 0.8353957; steps/sec: 3.96;
FastEstimator-Train: step: 3000; epoch: 2; epoch_time: 378.98 sec;
FastEstimator-Eval: step: 3000; epoch: 2; total_loss: 0.79166514; mAP: 0.05592197437823501; AP50: 0.10957830342928015; AP75: 0.05141459952317459;
FastEstimator-Train: step: 3100; total_loss: 0.83644795; steps/sec: 3.83;
FastEstimator-Train: step: 3200; total_loss: 0.78151846; steps/sec: 3.96;
FastEstimator-Train: step: 3300; total_loss: 0.8271563; steps/sec: 3.97;
