FastEstimator-Start: step: 1; num_device: 1; logging_interval: 100;
FastEstimator-Train: step: 1; total_loss: 1.8914863;
FastEstimator-Train: step: 100; total_loss: 1.7106473; steps/sec: 4.2;
FastEstimator-Train: step: 200; total_loss: 1.6493042; steps/sec: 4.14;
FastEstimator-Train: step: 300; total_loss: 1.4466443; steps/sec: 4.15;
FastEstimator-Train: step: 400; total_loss: 1.6075785; steps/sec: 4.14;
FastEstimator-Train: step: 500; total_loss: 1.1643716; steps/sec: 4.15;
FastEstimator-Train: step: 600; total_loss: 1.1729293; steps/sec: 4.15;
FastEstimator-Train: step: 700; total_loss: 1.0638843; steps/sec: 4.15;
FastEstimator-Train: step: 800; total_loss: 1.1738367; steps/sec: 4.15;
FastEstimator-Train: step: 900; total_loss: 1.1115854; steps/sec: 4.14;
FastEstimator-Train: step: 1000; total_loss: 1.1508915; steps/sec: 4.15;
FastEstimator-Train: step: 1100; total_loss: 1.1916223; steps/sec: 4.14;
FastEstimator-Train: step: 1200; total_loss: 1.04485; steps/sec: 4.14;
FastEstimator-Train: step: 1300; total_loss: 0.9937065; steps/sec: 4.15;
FastEstimator-Train: step: 1400; total_loss: 0.9435009; steps/sec: 4.15;
FastEstimator-Train: step: 1500; total_loss: 0.9864968; steps/sec: 4.15;
FastEstimator-Train: step: 1500; epoch: 1; epoch_time: 378.69 sec;
FastEstimator-Eval: step: 1500; epoch: 1; total_loss: 0.9880068; mAP: 0.009002739868369494; AP50: 0.01926650184332976; AP75: 0.007588964949929976;
FastEstimator-Train: step: 1600; total_loss: 0.92654264; steps/sec: 4.0;
FastEstimator-Train: step: 1700; total_loss: 0.8298434; steps/sec: 4.15;
FastEstimator-Train: step: 1800; total_loss: 0.95502895; steps/sec: 4.15;
FastEstimator-Train: step: 1900; total_loss: 1.0007467; steps/sec: 4.16;
FastEstimator-Train: step: 2000; total_loss: 0.86692226; steps/sec: 4.14;
FastEstimator-Train: step: 2100; total_loss: 0.8869177; steps/sec: 4.13;
FastEstimator-Train: step: 2200; total_loss: 0.977279; steps/sec: 4.13;
FastEstimator-Train: step: 2300; total_loss: 1.0271975; steps/sec: 4.15;
