FastEstimator-Start: step: 1; num_device: 1; logging_interval: 100;
FastEstimator-Train: step: 1; total_loss: 2.1528268;
FastEstimator-Train: step: 100; total_loss: 1.7122602; steps/sec: 4.08;
FastEstimator-Train: step: 200; total_loss: 1.4896108; steps/sec: 4.05;
FastEstimator-Train: step: 300; total_loss: 1.3223693; steps/sec: 4.04;
FastEstimator-Train: step: 400; total_loss: 1.3003204; steps/sec: 4.04;
FastEstimator-Train: step: 500; total_loss: 1.2279396; steps/sec: 4.05;
FastEstimator-Train: step: 600; total_loss: 1.0077721; steps/sec: 4.04;
FastEstimator-Train: step: 700; total_loss: 1.0648077; steps/sec: 4.04;
FastEstimator-Train: step: 800; total_loss: 1.0764599; steps/sec: 4.05;
FastEstimator-Train: step: 900; total_loss: 1.0220577; steps/sec: 4.05;
FastEstimator-Train: step: 1000; total_loss: 0.8928138; steps/sec: 4.04;
FastEstimator-Train: step: 1100; total_loss: 0.89593875; steps/sec: 4.04;
FastEstimator-Train: step: 1200; total_loss: 1.0820037; steps/sec: 4.04;
FastEstimator-Train: step: 1300; total_loss: 0.9756572; steps/sec: 4.06;
FastEstimator-Train: step: 1400; total_loss: 0.97537065; steps/sec: 4.05;
FastEstimator-Train: step: 1500; total_loss: 1.0276964; steps/sec: 4.04;
FastEstimator-Train: step: 1500; epoch: 1; epoch_time: 389.56 sec;
FastEstimator-Eval: step: 1500; epoch: 1; total_loss: 0.9981814; mAP: 0.014669846047847379; AP50: 0.03238185687572972; AP75: 0.011124602544459648;
FastEstimator-Train: step: 1600; total_loss: 0.9044144; steps/sec: 3.9;
FastEstimator-Train: step: 1700; total_loss: 0.90793556; steps/sec: 4.04;
FastEstimator-Train: step: 1800; total_loss: 0.80994105; steps/sec: 4.04;
FastEstimator-Train: step: 1900; total_loss: 0.7884296; steps/sec: 4.03;
FastEstimator-Train: step: 2000; total_loss: 0.80488634; steps/sec: 4.04;
FastEstimator-Train: step: 2100; total_loss: 0.9027525; steps/sec: 4.03;
FastEstimator-Train: step: 2200; total_loss: 0.9001513; steps/sec: 4.03;
FastEstimator-Train: step: 2300; total_loss: 0.9091595; steps/sec: 4.05;
FastEstimator-Train: step: 2400; total_loss: 0.7815033; steps/sec: 4.03;
FastEstimator-Train: step: 2500; total_loss: 0.70922023; steps/sec: 4.04;
FastEstimator-Train: step: 2600; total_loss: 0.94854665; steps/sec: 4.03;
FastEstimator-Train: step: 2700; total_loss: 0.8782664; steps/sec: 4.04;
FastEstimator-Train: step: 2800; total_loss: 1.0320932; steps/sec: 4.03;
FastEstimator-Train: step: 2900; total_loss: 0.8655912; steps/sec: 4.04;
FastEstimator-Train: step: 3000; total_loss: 0.7427333; steps/sec: 4.05;
FastEstimator-Train: step: 3000; epoch: 2; epoch_time: 372.38 sec;
FastEstimator-Eval: step: 3000; epoch: 2; total_loss: 0.80138195; mAP: 0.05054860049046739; AP50: 0.10066237952941405; AP75: 0.045711841669318326;
FastEstimator-Train: step: 3100; total_loss: 0.7763; steps/sec: 3.9;
FastEstimator-Train: step: 3200; total_loss: 0.7445252; steps/sec: 4.03;
FastEstimator-Train: step: 3300; total_loss: 0.6946938; steps/sec: 4.05;
FastEstimator-Train: step: 3400; total_loss: 0.7499243; steps/sec: 4.06;
FastEstimator-Train: step: 3500; total_loss: 0.73523736; steps/sec: 4.04;
FastEstimator-Train: step: 3600; total_loss: 0.9165497; steps/sec: 4.05;
FastEstimator-Train: step: 3700; total_loss: 0.669027; steps/sec: 4.04;
FastEstimator-Train: step: 3800; total_loss: 0.803326; steps/sec: 4.03;
FastEstimator-Train: step: 3900; total_loss: 0.7744694; steps/sec: 4.03;
FastEstimator-Train: step: 4000; total_loss: 0.7532373; steps/sec: 4.04;
FastEstimator-Train: step: 4100; total_loss: 0.86242926; steps/sec: 4.04;
FastEstimator-Train: step: 4200; total_loss: 0.73567545; steps/sec: 4.04;
FastEstimator-Train: step: 4300; total_loss: 0.8977343; steps/sec: 4.05;
FastEstimator-Train: step: 4400; total_loss: 0.7237822; steps/sec: 4.03;
FastEstimator-Train: step: 4500; total_loss: 0.7617825; steps/sec: 4.03;
FastEstimator-Train: step: 4500; epoch: 3; epoch_time: 372.24 sec;
FastEstimator-Eval: step: 4500; epoch: 3; total_loss: 0.74129695; mAP: 0.07277799738887628; AP50: 0.14146605702954898; AP75: 0.06666835754973893;
FastEstimator-Train: step: 4600; total_loss: 0.73025936; steps/sec: 3.9;
FastEstimator-Train: step: 4700; total_loss: 0.70180154; steps/sec: 4.05;
FastEstimator-Train: step: 4800; total_loss: 0.7813233; steps/sec: 4.03;
FastEstimator-Train: step: 4900; total_loss: 0.8021843; steps/sec: 4.04;
FastEstimator-Train: step: 5000; total_loss: 0.6455747; steps/sec: 4.05;
FastEstimator-Train: step: 5100; total_loss: 0.7480167; steps/sec: 4.06;
FastEstimator-Train: step: 5200; total_loss: 0.6667812; steps/sec: 4.04;
FastEstimator-Train: step: 5300; total_loss: 0.694378; steps/sec: 4.04;
FastEstimator-Train: step: 5400; total_loss: 0.7061126; steps/sec: 4.04;
FastEstimator-Train: step: 5500; total_loss: 0.65167475; steps/sec: 4.03;
FastEstimator-Train: step: 5600; total_loss: 0.69777095; steps/sec: 4.03;
FastEstimator-Train: step: 5700; total_loss: 0.7063428; steps/sec: 4.03;
FastEstimator-Train: step: 5800; total_loss: 0.57751954; steps/sec: 4.05;
FastEstimator-Train: step: 5900; total_loss: 0.7692627; steps/sec: 4.04;
FastEstimator-Train: step: 6000; total_loss: 0.6844769; steps/sec: 4.02;
FastEstimator-Train: step: 6000; epoch: 4; epoch_time: 372.27 sec;
FastEstimator-Eval: step: 6000; epoch: 4; total_loss: 0.7222609; mAP: 0.08169457309639692; AP50: 0.15591749267832228; AP75: 0.07607190116729244;
FastEstimator-Train: step: 6100; total_loss: 0.6635735; steps/sec: 3.9;
FastEstimator-Train: step: 6200; total_loss: 0.5528239; steps/sec: 4.03;
FastEstimator-Train: step: 6300; total_loss: 0.6843729; steps/sec: 4.05;
FastEstimator-Train: step: 6400; total_loss: 0.70441276; steps/sec: 4.03;
FastEstimator-Train: step: 6500; total_loss: 0.6704123; steps/sec: 4.05;
FastEstimator-Train: step: 6600; total_loss: 0.60093874; steps/sec: 4.04;
FastEstimator-Train: step: 6700; total_loss: 0.61825836; steps/sec: 4.03;
FastEstimator-Train: step: 6800; total_loss: 0.7112251; steps/sec: 4.04;
FastEstimator-Train: step: 6900; total_loss: 0.6509117; steps/sec: 4.04;
FastEstimator-Train: step: 7000; total_loss: 0.65057385; steps/sec: 4.05;
FastEstimator-Train: step: 7100; total_loss: 0.6946218; steps/sec: 4.04;
FastEstimator-Train: step: 7200; total_loss: 0.72408485; steps/sec: 4.04;
FastEstimator-Train: step: 7300; total_loss: 0.631153; steps/sec: 4.03;
FastEstimator-Train: step: 7400; total_loss: 0.5888792; steps/sec: 4.04;
FastEstimator-Train: step: 7500; total_loss: 0.58545774; steps/sec: 4.04;
FastEstimator-Train: step: 7500; epoch: 5; epoch_time: 372.27 sec;
FastEstimator-Eval: step: 7500; epoch: 5; total_loss: 0.69109386; mAP: 0.09668172824502853; AP50: 0.18257180232289316; AP75: 0.09414365136170508;
FastEstimator-Train: step: 7600; total_loss: 0.64889; steps/sec: 3.88;
FastEstimator-Train: step: 7700; total_loss: 0.6775752; steps/sec: 4.05;
FastEstimator-Train: step: 7800; total_loss: 0.57677376; steps/sec: 4.04;
FastEstimator-Train: step: 7900; total_loss: 0.69633025; steps/sec: 4.03;
FastEstimator-Train: step: 8000; total_loss: 0.6707599; steps/sec: 4.03;
FastEstimator-Train: step: 8100; total_loss: 0.6513574; steps/sec: 4.04;
FastEstimator-Train: step: 8200; total_loss: 0.60039866; steps/sec: 4.04;
FastEstimator-Train: step: 8300; total_loss: 0.70737493; steps/sec: 4.04;
FastEstimator-Train: step: 8400; total_loss: 0.6687399; steps/sec: 4.04;
FastEstimator-Train: step: 8500; total_loss: 0.6203356; steps/sec: 4.04;
FastEstimator-Train: step: 8600; total_loss: 0.6321796; steps/sec: 4.05;
FastEstimator-Train: step: 8700; total_loss: 0.67996985; steps/sec: 4.04;
FastEstimator-Train: step: 8800; total_loss: 0.6457343; steps/sec: 4.02;
FastEstimator-Train: step: 8900; total_loss: 0.77581716; steps/sec: 4.04;
FastEstimator-Train: step: 9000; total_loss: 0.56266236; steps/sec: 4.04;
FastEstimator-Train: step: 9000; epoch: 6; epoch_time: 372.47 sec;
FastEstimator-Eval: step: 9000; epoch: 6; total_loss: 0.6704608; mAP: 0.10526852443593414; AP50: 0.19443556193284234; AP75: 0.10318953911204258;
FastEstimator-Train: step: 9100; total_loss: 0.587758; steps/sec: 3.91;
FastEstimator-Train: step: 9200; total_loss: 0.62490237; steps/sec: 4.04;
FastEstimator-Train: step: 9300; total_loss: 0.54747564; steps/sec: 4.04;
FastEstimator-Train: step: 9400; total_loss: 0.5797267; steps/sec: 4.04;
FastEstimator-Train: step: 9500; total_loss: 0.73269904; steps/sec: 4.03;
FastEstimator-Train: step: 9600; total_loss: 0.5907882; steps/sec: 4.04;
FastEstimator-Train: step: 9700; total_loss: 0.67349064; steps/sec: 4.05;
FastEstimator-Train: step: 9800; total_loss: 0.6034404; steps/sec: 4.05;
FastEstimator-Train: step: 9900; total_loss: 0.4873869; steps/sec: 4.04;
FastEstimator-Train: step: 10000; total_loss: 0.62686837; steps/sec: 4.04;
